X,Y
570,390
654,372
578,390
513,394
551,403
485,366
515,395
484,364
402,384
419,362
496,381
584,389
387,400
418,363
521,398
392,395
543,374
567,400
376,409
565,389
358,422
554,403
671,367
539,358
586,389
504,388
652,356
537,402
554,384
539,360
357,422
569,400
406,380
373,412
522,398
514,395
576,397
532,401
380,406
408,377
413,370
553,384
665,373
400,387
659,378
497,382
525,399
487,370
555,403
577,390
552,403
